Model,VAL_MAE,VAL_RMSE,VAL_R2,VAL_Coverage,TEST_MAE,TEST_RMSE,TEST_R2,TEST_Coverage
Baseline (Seasonal),0.1111111111111111,0.3990729999126216,-0.2356321839080462,,0.28888888888888886,0.8119478180642271,-0.17724867724867743,
ML Ensemble (Mean),0.00045439882536750314,0.0022515538044478637,0.99996066771482,100.0,0.03529364925524002,0.1654451721195021,0.9511212411113362,100.0
