date,crash_count,rush_hour_crashes,night_crashes,peak_crash_hour_crashes,total_killed,total_injured,fatal_crashes,injury_crashes,total_vehicles,rain_crashes,adverse_weather_crashes,dark_crashes,year,month,day,day_of_week,day_of_year,week_of_year,quarter,is_weekend,is_monday,is_friday,day_of_week_sin,day_of_week_cos,day_of_year_sin,day_of_year_cos,week_sin,week_cos,month_sin,month_cos,crashes_lag_1d,crashes_lag_2d,crashes_lag_3d,crashes_lag_7d,crashes_lag_14d,crashes_lag_28d,crashes_rolling_mean_3d,crashes_rolling_std_3d,crashes_rolling_sum_3d,crashes_rolling_max_3d,crashes_rolling_mean_7d,crashes_rolling_std_7d,crashes_rolling_sum_7d,crashes_rolling_max_7d,crashes_rolling_mean_14d,crashes_rolling_std_14d,crashes_rolling_sum_14d,crashes_rolling_max_14d,crashes_rolling_mean_28d,crashes_rolling_std_28d,crashes_rolling_sum_28d,crashes_rolling_max_28d,crashes_rolling_mean_56d,crashes_rolling_std_56d,crashes_rolling_sum_56d,crashes_rolling_max_56d,crashes_rolling_mean_84d,crashes_rolling_std_84d,crashes_rolling_sum_84d,crashes_rolling_max_84d,crash_change_1d,crash_change_7d,crash_change_28d,total_crashes_hist,pct_rush_hour,pct_night,pct_peak_hour,pct_weekend,pct_rain,pct_dark,avg_spd_limit,avg_lanes
2022-01-10,2,2,0,0,0,2,0,2,4,0,0,0,2022,1,10,0,10,2,1,0,1,0,0.0,1.0,0.1712931441814776,0.9852201067560606,0.23931566428755774,0.970941817426052,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,749,0.3538050734312417,0.05473965287049399,0.2750333778371162,0.1628838451268358,0.07076101468624833,0.1842456608811749,38.13502673796791,5.9839786381842455
2022-01-11,1,0,0,0,0,0,0,0,2,0,0,0,2022,1,11,1,11,2,1,0,0,0,0.7818314824680298,0.6234898018587336,0.1882267098432442,0.9821256058680006,0.23931566428755774,0.970941817426052,0.49999999999999994,0.8660254037844387,2.0,0.0,0.0,0.0,0.0,0.0,1.5,0.7071067811865476,3.0,2.0,1.5,0.7071067811865476,3.0,2.0,1.5,0.7071067811865476,3.0,2.0,1.5,0.7071067811865476,3.0,2.0,1.5,0.7071067811865476,3.0,2.0,1.5,0.7071067811865476,3.0,2.0,-1.0,0.0,0.0,749,0.3538050734312417,0.05473965287049399,0.2750333778371162,0.1628838451268358,0.07076101468624833,0.1842456608811749,38.13502673796791,5.9839786381842455
2022-01-12,1,0,0,0,0,0,0,0,2,0,0,0,2022,1,12,2,12,2,1,0,0,0,0.9749279121818236,-0.22252093395631434,0.2051044998686192,0.9787400799669153,0.23931566428755774,0.970941817426052,0.49999999999999994,0.8660254037844387,1.0,2.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.5773502691896257,4.0,2.0,1.3333333333333333,0.5773502691896257,4.0,2.0,1.3333333333333333,0.5773502691896257,4.0,2.0,1.3333333333333333,0.5773502691896257,4.0,2.0,1.3333333333333333,0.5773502691896257,4.0,2.0,1.3333333333333333,0.5773502691896257,4.0,2.0,0.0,0.0,0.0,749,0.3538050734312417,0.05473965287049399,0.2750333778371162,0.1628838451268358,0.07076101468624833,0.1842456608811749,38.13502673796791,5.9839786381842455
2022-01-13,0,0,0,0,0,0,0,0,0,0,0,0,2022,1,13,3,13,2,1,0,0,0,0.43388373911755823,-0.900968867902419,0.2219215130041655,0.9750645322571948,0.23931566428755774,0.970941817426052,0.49999999999999994,0.8660254037844387,1.0,1.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.5773502691896256,2.0,1.0,1.0,0.816496580927726,4.0,2.0,1.0,0.816496580927726,4.0,2.0,1.0,0.816496580927726,4.0,2.0,1.0,0.816496580927726,4.0,2.0,1.0,0.816496580927726,4.0,2.0,-1.0,0.0,0.0,749,0.3538050734312417,0.05473965287049399,0.2750333778371162,0.1628838451268358,0.07076101468624833,0.1842456608811749,38.13502673796791,5.9839786381842455
2022-01-14,0,0,0,0,0,0,0,0,0,0,0,0,2022,1,14,4,14,2,1,0,0,1,-0.433883739117558,-0.9009688679024191,0.2386727660059501,0.9711000518829505,0.23931566428755774,0.970941817426052,0.49999999999999994,0.8660254037844387,0.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896255,1.0,1.0,0.8,0.8366600265340756,4.0,2.0,0.8,0.8366600265340756,4.0,2.0,0.8,0.8366600265340756,4.0,2.0,0.8,0.8366600265340756,4.0,2.0,0.8,0.8366600265340756,4.0,2.0,0.0,0.0,0.0,749,0.3538050734312417,0.05473965287049399,0.2750333778371162,0.1628838451268358,0.07076101468624833,0.1842456608811749,38.13502673796791,5.9839786381842455
2022-01-15,1,1,0,0,0,0,0,0,2,0,0,0,2022,1,15,5,15,2,1,1,0,0,-0.9749279121818236,-0.2225209339563146,0.255353295116187,0.9668478136052775,0.23931566428755774,0.970941817426052,0.49999999999999994,0.8660254037844387,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896255,1.0,1.0,0.8333333333333334,0.752772652709081,5.0,2.0,0.8333333333333334,0.752772652709081,5.0,2.0,0.8333333333333334,0.752772652709081,5.0,2.0,0.8333333333333334,0.752772652709081,5.0,2.0,0.8333333333333334,0.752772652709081,5.0,2.0,1.0,0.0,0.0,749,0.3538050734312417,0.05473965287049399,0.2750333778371162,0.1628838451268358,0.07076101468624833,0.1842456608811749,38.13502673796791,5.9839786381842455
2022-01-16,0,0,0,0,0,0,0,0,0,0,0,0,2022,1,16,6,16,2,1,1,0,0,-0.7818314824680299,0.6234898018587334,0.2719581575341055,0.9623090774541486,0.23931566428755774,0.970941817426052,0.49999999999999994,0.8660254037844387,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5773502691896255,1.0,1.0,0.7142857142857143,0.7559289460184544,5.0,2.0,0.7142857142857143,0.7559289460184544,5.0,2.0,0.7142857142857143,0.7559289460184544,5.0,2.0,0.7142857142857143,0.7559289460184544,5.0,2.0,0.7142857142857143,0.7559289460184544,5.0,2.0,-1.0,0.0,0.0,749,0.3538050734312417,0.05473965287049399,0.2750333778371162,0.1628838451268358,0.07076101468624833,0.1842456608811749,38.13502673796791,5.9839786381842455
2022-01-17,0,0,0,0,0,0,0,0,0,0,0,0,2022,1,17,0,17,3,1,0,1,0,0.0,1.0,0.288482432880609,0.9574851883550393,0.3546048870425356,0.9350162426854148,0.49999999999999994,0.8660254037844387,0.0,1.0,0.0,2.0,0.0,0.0,0.3333333333333333,0.5773502691896255,1.0,1.0,0.42857142857142855,0.5345224838248488,3.0,1.0,0.625,0.7440238091428449,5.0,2.0,0.625,0.7440238091428449,5.0,2.0,0.625,0.7440238091428449,5.0,2.0,0.625,0.7440238091428449,5.0,2.0,0.0,-2.0,0.0,749,0.3538050734312417,0.05473965287049399,0.2750333778371162,0.1628838451268358,0.07076101468624833,0.1842456608811749,38.13502673796791,5.9839786381842455
2022-01-18,0,0,0,0,0,0,0,0,0,0,0,0,2022,1,18,1,18,3,1,0,0,0,0.7818314824680298,0.6234898018587336,0.30492122465628907,0.9523775757303974,0.3546048870425356,0.9350162426854148,0.49999999999999994,0.8660254037844387,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.48795003647426666,2.0,1.0,0.5555555555555556,0.7264831572567789,5.0,2.0,0.5555555555555556,0.7264831572567789,5.0,2.0,0.5555555555555556,0.7264831572567789,5.0,2.0,0.5555555555555556,0.7264831572567789,5.0,2.0,0.0,-1.0,0.0,749,0.3538050734312417,0.05473965287049399,0.2750333778371162,0.1628838451268358,0.07076101468624833,0.1842456608811749,38.13502673796791,5.9839786381842455
2022-01-19,1,1,0,0,0,0,0,0,2,0,0,0,2022,1,19,2,19,3,1,0,0,0,0.9749279121818236,-0.22252093395631434,0.3212696616923644,0.9469877530760753,0.3546048870425356,0.9350162426854148,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.5773502691896255,1.0,1.0,0.2857142857142857,0.48795003647426666,2.0,1.0,0.6,0.6992058987801011,6.0,2.0,0.6,0.6992058987801011,6.0,2.0,0.6,0.6992058987801011,6.0,2.0,0.6,0.6992058987801011,6.0,2.0,1.0,0.0,0.0,749,0.3538050734312417,0.05473965287049399,0.2750333778371162,0.1628838451268358,0.07076101468624833,0.1842456608811749,38.13502673796791,5.9839786381842455
