week_start,total_crashes,avg_speed,std_speed,min_speed,max_speed,avg_npmrds,std_npmrds,avg_speed_deviation,max_speed_deviation,avg_speed_ratio,min_speed_ratio,total_congestion_hours,total_weekend_hours,total_rush_hours,total_night_hours,total_peak_crash_hours,speed_variability,speed_range,pct_congested,pct_rush_hour,year,month,quarter,week_of_year,week_sin,week_cos,month_sin,month_cos,crashes_lag_1w,crashes_lag_2w,crashes_lag_3w,crashes_lag_4w,crashes_lag_8w,crashes_lag_12w,crashes_rolling_mean_2w,crashes_rolling_std_2w,crashes_rolling_max_2w,crashes_rolling_mean_4w,crashes_rolling_std_4w,crashes_rolling_max_4w,crashes_rolling_mean_8w,crashes_rolling_std_8w,crashes_rolling_max_8w,crashes_rolling_mean_12w,crashes_rolling_std_12w,crashes_rolling_max_12w,crash_change_1w,crash_change_4w
2021-01-04,2,63.252758620689654,4.832244817467577,47.0,77.0,2719.4942528735633,1522.8613663908009,6.6145977011494255,33.0,1.0040120415982485,0.746031746031746,0,42,24,23,16,0.07639579558016264,30.0,0.0,0.14285714285714285,2021,1,1,1,0.12053668025532305,0.992708874098054,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0
2021-01-11,1,60.88106666666667,6.007620568482549,24.08,74.0,2824.84,1614.5966940060612,6.664000000000001,35.34,0.9663661375661375,0.3822222222222222,2,44,40,40,28,0.09867797818614461,49.92,0.011904761904761904,0.23809523809523808,2021,1,1,2,0.23931566428755774,0.970941817426052,0.49999999999999994,0.8660254037844387,2.0,0.0,0.0,0.0,0.0,0.0,1.5,0.7071067811865476,2.0,1.5,0.7071067811865476,2.0,1.5,0.7071067811865476,2.0,1.5,0.7071067811865476,2.0,-1.0,0.0
2021-01-18,2,62.021103896103895,6.282995784524348,3.71,74.0,2806.4545454545455,1597.9911248737528,7.472922077922077,51.29,0.9844619666048238,0.058888888888888886,1,42,42,43,28,0.10130415922698596,70.29,0.005952380952380952,0.25,2021,1,1,3,0.3546048870425356,0.9350162426854148,0.49999999999999994,0.8660254037844387,1.0,2.0,0.0,0.0,0.0,0.0,1.5,0.7071067811865476,2.0,1.6666666666666667,0.5773502691896257,2.0,1.6666666666666667,0.5773502691896257,2.0,1.6666666666666667,0.5773502691896257,2.0,1.0,0.0
2021-01-25,4,59.961493506493504,7.731519968468904,12.0,72.0,2810.4285714285716,1592.9457066317036,6.808766233766233,46.0,0.9517697381983097,0.19047619047619047,4,42,42,42,28,0.12894141750541324,60.0,0.023809523809523808,0.25,2021,1,1,4,0.4647231720437685,0.8854560256532099,0.49999999999999994,0.8660254037844387,2.0,1.0,2.0,0.0,0.0,0.0,3.0,1.4142135623730951,4.0,2.25,1.2583057392117916,4.0,2.25,1.2583057392117916,4.0,2.25,1.2583057392117916,4.0,2.0,0.0
2021-02-01,0,61.40503311258278,3.9290729821290213,49.0,71.0,2812.2781456953644,1625.6829832778608,6.410066225165562,35.19,0.9746830652790918,0.7777777777777778,0,42,42,43,28,0.06398617153947755,22.0,0.0,0.25,2021,2,1,5,0.5680647467311558,0.8229838658936564,0.8660254037844386,0.5000000000000001,4.0,2.0,1.0,2.0,0.0,0.0,2.0,2.8284271247461903,4.0,1.75,1.707825127659933,4.0,1.8,1.4832396974191326,4.0,1.8,1.4832396974191326,4.0,-4.0,-2.0
2021-02-08,1,61.56152866242038,4.087564500487735,50.43,76.0,2765.082802547771,1611.5380850324466,6.305987261146497,34.29,0.9771671216257204,0.8004761904761905,0,46,42,46,28,0.06639803444294502,25.57,0.0,0.25,2021,2,1,6,0.6631226582407952,0.7485107481711011,0.8660254037844386,0.5000000000000001,0.0,4.0,2.0,1.0,0.0,0.0,0.5,0.7071067811865476,1.0,1.75,1.707825127659933,4.0,1.6666666666666667,1.3662601021279464,4.0,1.6666666666666667,1.3662601021279464,4.0,1.0,0.0
2021-02-15,1,53.86036363636363,8.253449160059933,29.23,72.47,2658.030303030303,1643.030340649752,7.911878787878788,33.33,0.854926406926407,0.463968253968254,23,48,42,53,28,0.1532379026584894,43.239999999999995,0.13690476190476192,0.25,2021,2,1,7,0.7485107481711011,0.6631226582407953,0.8660254037844386,0.5000000000000001,1.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,1.0,1.5,1.7320508075688772,4.0,1.5714285714285714,1.2724180205607036,4.0,1.5714285714285714,1.2724180205607036,4.0,0.0,-1.0
2021-02-22,3,54.1226875,7.0949284501713175,32.02,78.0,2733.325,1612.9205494202554,6.7621875000000005,32.4,0.8590902777777778,0.5082539682539683,17,46,42,48,28,0.13108972924101964,45.98,0.10119047619047619,0.25,2021,2,1,8,0.8229838658936564,0.5680647467311559,0.8660254037844386,0.5000000000000001,1.0,1.0,0.0,4.0,0.0,0.0,2.0,1.4142135623730951,3.0,1.25,1.2583057392117916,3.0,1.75,1.2817398889233116,4.0,1.75,1.2817398889233116,4.0,2.0,-1.0
2021-03-01,4,59.35222222222222,4.749378514426064,43.41,80.0,2704.1481481481483,1624.1910292988732,5.205555555555556,35.69,0.9420987654320988,0.689047619047619,2,48,42,50,28,0.08002023069403856,36.59,0.011904761904761904,0.25,2021,3,1,9,0.8854560256532099,0.4647231720437686,1.0,6.123233995736766e-17,3.0,1.0,1.0,0.0,2.0,0.0,3.5,0.7071067811865476,4.0,2.25,1.5,4.0,2.0,1.5118578920369088,4.0,2.0,1.4142135623730951,4.0,1.0,4.0
2021-03-08,1,60.374545454545455,5.273798979330833,26.81,77.0,2808.9805194805194,1592.9349303811773,5.925194805194805,32.19,0.9583261183261182,0.4255555555555555,2,45,41,43,28,0.08735136537469006,50.19,0.011904761904761904,0.24404761904761904,2021,3,1,10,0.9350162426854148,0.35460488704253557,1.0,6.123233995736766e-17,4.0,3.0,1.0,1.0,1.0,0.0,2.5,2.1213203435596424,4.0,2.25,1.5,4.0,2.0,1.5118578920369088,4.0,1.9,1.3703203194062976,4.0,-3.0,0.0
