week_start,total_crashes,avg_speed,std_speed,min_speed,max_speed,avg_npmrds,std_npmrds,avg_speed_deviation,max_speed_deviation,avg_speed_ratio,min_speed_ratio,total_congestion_hours,total_weekend_hours,total_rush_hours,total_night_hours,total_peak_crash_hours,speed_variability,speed_range,pct_congested,pct_rush_hour,year,month,quarter,week_of_year,week_sin,week_cos,month_sin,month_cos,crashes_lag_1w,crashes_lag_2w,crashes_lag_3w,crashes_lag_4w,crashes_lag_8w,crashes_lag_12w,crashes_rolling_mean_2w,crashes_rolling_std_2w,crashes_rolling_max_2w,crashes_rolling_mean_4w,crashes_rolling_std_4w,crashes_rolling_max_4w,crashes_rolling_mean_8w,crashes_rolling_std_8w,crashes_rolling_max_8w,crashes_rolling_mean_12w,crashes_rolling_std_12w,crashes_rolling_max_12w,crash_change_1w,crash_change_4w
2021-01-04,1,67.29125,3.7020080610677426,55.99,82.47,3348.0833333333335,2023.0891994106269,6.7058333333333335,24.819999999999993,0.989577205882353,0.8233823529411765,0,48,24,32,16,0.055014701927334424,26.479999999999997,0.0,0.14285714285714285,2021,1,1,1,0.12053668025532305,0.992708874098054,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
2021-01-11,0,65.42497005988024,3.6902678706198975,48.78,72.91,3496.311377245509,2095.8314073422766,6.56125748502994,34.02,0.9621319126452977,0.7173529411764706,0,47,42,55,28,0.05640457866839493,24.129999999999995,0.0,0.25,2021,1,1,2,0.23931566428755774,0.970941817426052,0.49999999999999994,0.8660254037844387,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.7071067811865476,1.0,0.5,0.7071067811865476,1.0,0.5,0.7071067811865476,1.0,0.5,0.7071067811865476,1.0,-1.0,0.0
2021-01-18,2,66.38464285714286,3.903923696867884,44.91,76.0,3478.565476190476,2102.168616902743,7.704285714285714,35.02,0.9762447478991596,0.6604411764705882,1,48,42,56,28,0.058807632742243925,31.090000000000003,0.005952380952380952,0.25,2021,1,1,3,0.3546048870425356,0.9350162426854148,0.49999999999999994,0.8660254037844387,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.4142135623730951,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0
2021-01-25,3,64.37797619047619,6.353993374863787,24.63,73.53,3478.565476190476,2102.168616902743,7.310833333333333,37.370000000000005,0.9467349439775911,0.36220588235294116,4,48,42,56,28,0.09869824668088542,48.900000000000006,0.023809523809523808,0.25,2021,1,1,4,0.4647231720437685,0.8854560256532099,0.49999999999999994,0.8660254037844387,2.0,0.0,1.0,0.0,0.0,0.0,2.5,0.7071067811865476,3.0,1.5,1.2909944487358056,3.0,1.5,1.2909944487358056,3.0,1.5,1.2909944487358056,3.0,1.0,0.0
2021-02-01,1,65.50845238095238,4.130578679224476,29.78,72.91,3478.565476190476,2102.168616902743,7.0914285714285725,34.79,0.963359593837535,0.4379411764705883,1,48,42,56,28,0.06305413315527367,43.129999999999995,0.005952380952380952,0.25,2021,2,1,5,0.5680647467311558,0.8229838658936564,0.8660254037844386,0.5000000000000001,3.0,2.0,0.0,1.0,0.0,0.0,2.0,1.4142135623730951,3.0,1.5,1.2909944487358056,3.0,1.4,1.140175425099138,3.0,1.4,1.140175425099138,3.0,-2.0,0.0
2021-02-08,1,65.78565476190477,3.2334456584586,53.84,71.93,3478.565476190476,2102.168616902743,6.8013690476190485,34.48,0.9674360994397759,0.791764705882353,0,48,42,56,28,0.04915122712027832,18.090000000000003,0.0,0.25,2021,2,1,6,0.6631226582407952,0.7485107481711011,0.8660254037844386,0.5000000000000001,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.75,0.9574271077563381,3.0,1.3333333333333333,1.0327955589886444,3.0,1.3333333333333333,1.0327955589886444,3.0,0.0,1.0
2021-02-15,3,58.86309523809524,9.131118206630015,30.32,68.74,3478.565476190476,2102.168616902743,8.090833333333332,32.95,0.8656337535014006,0.44588235294117645,26,48,42,56,28,0.155124669705111,38.419999999999995,0.15476190476190477,0.25,2021,2,1,7,0.7485107481711011,0.6631226582407953,0.8660254037844386,0.5000000000000001,1.0,1.0,3.0,2.0,0.0,0.0,2.0,1.4142135623730951,3.0,2.0,1.1547005383792515,3.0,1.5714285714285714,1.1338934190276817,3.0,1.5714285714285714,1.1338934190276817,3.0,2.0,1.0
2021-02-22,2,56.89606060606061,9.160628486331994,27.3,69.11,3532.787878787879,2081.88883160683,8.373030303030303,33.7,0.8367067736185384,0.40147058823529413,30,47,42,53,28,0.1610063752877154,41.81,0.17857142857142858,0.25,2021,2,1,8,0.8229838658936564,0.5680647467311559,0.8660254037844386,0.5000000000000001,3.0,1.0,1.0,3.0,0.0,0.0,2.5,0.7071067811865476,3.0,1.75,0.9574271077563382,3.0,1.625,1.0606601717798212,3.0,1.625,1.0606601717798212,3.0,-1.0,-1.0
2021-03-01,1,62.20470238095238,7.0332505347488645,27.69,74.29,3478.565476190476,2102.168616902743,5.193154761904762,31.729999999999997,0.9147750350140056,0.4072058823529412,7,48,42,56,28,0.11306621952269813,46.60000000000001,0.041666666666666664,0.25,2021,3,1,9,0.8854560256532099,0.4647231720437686,1.0,6.123233995736766e-17,2.0,3.0,1.0,1.0,1.0,0.0,1.5,0.7071067811865476,2.0,1.75,0.9574271077563382,3.0,1.625,1.0606601717798212,3.0,1.5555555555555556,1.0137937550497031,3.0,-1.0,0.0
2021-03-08,2,64.23154761904762,5.596684539086883,29.48,71.19,3478.565476190476,2102.168616902743,5.6375,31.819999999999993,0.9445815826330533,0.4335294117647059,5,48,42,56,28,0.08713295485701808,41.709999999999994,0.02976190476190476,0.25,2021,3,1,10,0.9350162426854148,0.35460488704253557,1.0,6.123233995736766e-17,1.0,2.0,3.0,1.0,0.0,0.0,1.5,0.7071067811865476,2.0,2.0,0.8164965809277261,3.0,1.875,0.8345229603962802,3.0,1.6,0.9660917830792958,3.0,1.0,1.0
2021-03-15,2,63.50784431137724,8.681479325369601,12.58,71.55,3495.7604790419164,2096.607397878373,6.462095808383234,48.42,0.9339388869320183,0.185,8,47,42,55,28,0.13669932304432414,58.97,0.047619047619047616,0.25,2021,3,1,11,0.970941817426052,0.23931566428755804,1.0,6.123233995736766e-17,2.0,1.0,2.0,3.0,2.0,0.0,2.0,0.0,2.0,1.75,0.5000000000000001,2.0,1.875,0.8345229603962802,3.0,1.6363636363636365,0.9244162777371753,3.0,0.0,-1.0
2021-03-22,0,64.75297619047619,4.202169180291174,40.14,71.47,3478.565476190476,2102.168616902743,5.957380952380952,37.11,0.952249649859944,0.5902941176470589,1,48,42,56,28,0.06489538284588106,31.33,0.005952380952380952,0.25,2021,3,1,12,0.992708874098054,0.120536680255323,1.0,6.123233995736766e-17,2.0,2.0,1.0,2.0,3.0,0.0,1.0,1.4142135623730951,2.0,1.25,0.9574271077563382,2.0,1.5,0.9258200997725513,3.0,1.5,0.9999999999999999,3.0,-2.0,-2.0
2021-03-29,3,63.041785714285716,9.303847399482038,13.94,71.85,3478.565476190476,2102.168616902743,6.294166666666667,35.650000000000006,0.9270850840336134,0.205,8,48,42,56,28,0.14758223127828882,57.91,0.047619047619047616,0.25,2021,3,1,13,1.0,-1.6081226496766366e-16,1.0,6.123233995736766e-17,0.0,2.0,2.0,1.0,1.0,1.0,1.5,2.1213203435596424,3.0,1.75,1.2583057392117918,3.0,1.75,1.035098339013531,3.0,1.6666666666666667,1.0730867399773196,3.0,3.0,2.0
2021-04-05,6,65.07035714285715,6.852249326299287,13.75,72.83,3478.565476190476,2102.168616902743,6.740476190476191,36.25,0.9569170168067226,0.20220588235294118,4,48,42,56,28,0.10530523616545827,59.08,0.023809523809523808,0.25,2021,4,2,14,0.992708874098054,-0.12053668025532288,0.8660254037844387,-0.4999999999999998,3.0,0.0,2.0,2.0,1.0,0.0,4.5,2.1213203435596424,6.0,2.75,2.5,6.0,2.375,1.7677669529663687,6.0,2.1666666666666665,1.5275252316519465,6.0,3.0,4.0
2021-04-12,0,64.97251497005988,6.3949946276306715,34.56,72.45,3496.1437125748503,2096.0701993080042,6.5030538922155685,31.689999999999998,0.95547816132441,0.5082352941176471,7,48,42,55,28,0.09842615189788424,37.89,0.041666666666666664,0.25,2021,4,2,15,0.9709418174260521,-0.2393156642875575,0.8660254037844387,-0.4999999999999998,6.0,3.0,0.0,2.0,3.0,2.0,3.0,4.242640687119285,6.0,2.25,2.8722813232690143,6.0,2.0,1.9272482233188628,6.0,2.0,1.651445647689541,6.0,-6.0,-2.0
2021-04-19,2,65.2982738095238,5.1678644284585005,35.24,74.33,3478.565476190476,2102.168616902743,6.202559523809524,27.299999999999997,0.9602687324929972,0.5182352941176471,3,48,42,56,28,0.07914243558004688,39.089999999999996,0.017857142857142856,0.25,2021,4,2,16,0.9350162426854148,-0.35460488704253545,0.8660254037844387,-0.4999999999999998,0.0,6.0,3.0,0.0,2.0,3.0,1.0,1.4142135623730951,2.0,2.75,2.5,6.0,2.0,1.9272482233188628,6.0,1.9166666666666667,1.6213537179739277,6.0,2.0,2.0
2021-04-26,4,63.274345238095236,9.711948603473154,12.16,73.17,3478.565476190476,2102.168616902743,5.997916666666667,49.3,0.9305050770308123,0.17882352941176471,9,48,42,56,28,0.1534895156469503,61.010000000000005,0.05357142857142857,0.25,2021,4,2,17,0.8854560256532099,-0.4647231720437685,0.8660254037844387,-0.4999999999999998,2.0,0.0,6.0,3.0,1.0,1.0,3.0,1.4142135623730951,4.0,3.0,2.581988897471611,6.0,2.375,1.9955307206712845,6.0,2.1666666666666665,1.696699112626596,6.0,2.0,1.0
