week_start,total_crashes,avg_speed,std_speed,min_speed,max_speed,avg_npmrds,std_npmrds,avg_speed_deviation,max_speed_deviation,avg_speed_ratio,min_speed_ratio,total_congestion_hours,total_weekend_hours,total_rush_hours,total_night_hours,total_peak_crash_hours,speed_variability,speed_range,pct_congested,pct_rush_hour,year,month,quarter,week_of_year,week_sin,week_cos,month_sin,month_cos,crashes_lag_1w,crashes_lag_2w,crashes_lag_3w,crashes_lag_4w,crashes_lag_8w,crashes_lag_12w,crashes_rolling_mean_2w,crashes_rolling_std_2w,crashes_rolling_max_2w,crashes_rolling_mean_4w,crashes_rolling_std_4w,crashes_rolling_max_4w,crashes_rolling_mean_8w,crashes_rolling_std_8w,crashes_rolling_max_8w,crashes_rolling_mean_12w,crashes_rolling_std_12w,crashes_rolling_max_12w,crash_change_1w,crash_change_4w
2021-01-04,2,60.465164835164835,8.086071476123118,25.13,92.0,1745.5494505494505,950.8125795425519,5.104285714285714,35.870000000000005,0.930233305156382,0.3866153846153846,2,44,23,29,16,0.13373107471329487,66.87,0.011904761904761904,0.13690476190476192,2021,1,1,1,0.12053668025532305,0.992708874098054,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0
2021-01-11,2,58.51042682926829,6.198311500793654,26.74,75.66,1782.3658536585365,963.1947482200333,4.608841463414635,33.260000000000005,0.9001604127579738,0.41138461538461535,3,48,41,53,27,0.10593516124707388,48.92,0.017857142857142856,0.24404761904761904,2021,1,1,2,0.23931566428755774,0.970941817426052,0.49999999999999994,0.8660254037844387,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0
2021-01-18,0,58.868475609756096,5.756932827130138,24.4,71.0,1788.2926829268292,963.404666714861,4.168353658536585,35.6,0.9056688555347091,0.37538461538461537,3,47,42,54,28,0.09779313575729925,46.6,0.017857142857142856,0.25,2021,1,1,3,0.3546048870425356,0.9350162426854148,0.49999999999999994,0.8660254037844387,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.4142135623730951,2.0,1.3333333333333333,1.1547005383792517,2.0,1.3333333333333333,1.1547005383792517,2.0,1.3333333333333333,1.1547005383792517,2.0,-2.0,0.0
2021-01-25,1,58.55385093167702,4.988682198500898,31.23,74.0,1810.0434782608695,959.3114350135863,3.923664596273292,29.77,0.9008284758719541,0.4804615384615385,1,45,42,49,28,0.08519819139345579,42.769999999999996,0.005952380952380952,0.25,2021,1,1,4,0.4647231720437685,0.8854560256532099,0.49999999999999994,0.8660254037844387,0.0,2.0,2.0,0.0,0.0,0.0,0.5,0.7071067811865476,1.0,1.25,0.9574271077563382,2.0,1.25,0.9574271077563382,2.0,1.25,0.9574271077563382,2.0,1.0,0.0
2021-02-01,3,58.861999999999995,3.9658419891527252,40.4,71.94,1783.5878787878787,963.8760103181397,3.459212121212121,15.600000000000001,0.9055692307692308,0.6215384615384615,1,47,42,53,28,0.06737525040183354,31.54,0.005952380952380952,0.25,2021,2,1,5,0.5680647467311558,0.8229838658936564,0.8660254037844386,0.5000000000000001,1.0,0.0,2.0,2.0,0.0,0.0,2.0,1.4142135623730951,3.0,1.5,1.2909944487358056,3.0,1.6,1.140175425099138,3.0,1.6,1.140175425099138,3.0,2.0,1.0
2021-02-08,3,59.94705521472393,7.975238758182661,10.04,94.0,1802.478527607362,954.9075861008121,4.8625153374233125,50.96,0.9222623879188296,0.15446153846153846,3,47,42,51,28,0.1330380404778218,83.96000000000001,0.017857142857142856,0.25,2021,2,1,6,0.6631226582407952,0.7485107481711011,0.8660254037844386,0.5000000000000001,3.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,1.75,1.5,3.0,1.8333333333333333,1.1690451944500122,3.0,1.8333333333333333,1.1690451944500122,3.0,0.0,1.0
2021-02-15,2,54.125741935483866,10.192464936972398,13.22,71.93,1832.374193548387,941.5857455446209,7.901225806451613,47.78,0.8327037220843673,0.20338461538461539,19,44,40,46,26,0.18831085861366087,58.71000000000001,0.1130952380952381,0.23809523809523808,2021,2,1,7,0.7485107481711011,0.6631226582407953,0.8660254037844386,0.5000000000000001,3.0,3.0,1.0,0.0,0.0,0.0,2.5,0.7071067811865476,3.0,2.25,0.957427107756338,3.0,1.8571428571428572,1.0690449676496976,3.0,1.8571428571428572,1.0690449676496976,3.0,-1.0,2.0
2021-02-22,6,49.40751773049645,10.596453662565489,11.0,65.93,1889.1843971631206,930.8426566660437,11.389219858156029,48.0,0.7601156573922531,0.16923076923076924,45,45,40,40,27,0.21447047229464233,54.93000000000001,0.26785714285714285,0.23809523809523808,2021,2,1,8,0.8229838658936564,0.5680647467311559,0.8660254037844386,0.5000000000000001,2.0,3.0,3.0,1.0,0.0,0.0,4.0,2.8284271247461903,6.0,3.5,1.7320508075688772,6.0,2.375,1.7677669529663687,6.0,2.375,1.7677669529663687,6.0,4.0,5.0
2021-03-01,3,57.17656626506024,7.002252167034107,14.87,73.99,1778.3313253012047,963.2184773003363,4.850180722891566,46.13,0.8796394810009268,0.22876923076923075,6,47,42,54,28,0.12246716836007483,59.12,0.03571428571428571,0.25,2021,3,1,9,0.8854560256532099,0.4647231720437686,1.0,6.123233995736766e-17,6.0,2.0,3.0,3.0,2.0,0.0,4.5,2.1213203435596424,6.0,3.5,1.7320508075688772,6.0,2.5,1.7728105208558365,6.0,2.4444444444444446,1.6666666666666665,6.0,-3.0,0.0
2021-03-08,3,59.27466257668712,6.612228783413967,19.76,73.0,1803.3496932515338,954.0112814364043,4.083251533742332,41.239999999999995,0.9119178857951865,0.30400000000000005,3,46,42,51,28,0.1115523648044278,53.239999999999995,0.017857142857142856,0.25,2021,3,1,10,0.9350162426854148,0.35460488704253557,1.0,6.123233995736766e-17,3.0,6.0,2.0,3.0,2.0,0.0,3.0,0.0,3.0,3.5,1.7320508075688772,6.0,2.625,1.7677669529663687,6.0,2.5,1.5811388300841895,6.0,0.0,0.0
