segment_id,mslink,VAL_MAE_baseline,VAL_MAE_ensemble,VAL_RMSE_ensemble,VAL_R2_ensemble,VAL_Coverage,TEST_MAE_baseline,TEST_MAE_ensemble,TEST_RMSE_ensemble,TEST_R2_ensemble,TEST_Coverage,90d_forecast_total_lambda,VAL_MAE_improvement,TEST_MAE_improvement
MSLINK_24,24,0.11666666666666665,0.001428272302249204,0.008293127043354026,0.9989508752450595,100.0,0.19999999999999998,0.0005543165859275748,0.00222987453832772,0.9999569701306633,100.0,4.456000000000001,0.11523839436441745,0.1994456834140724
MSLINK_25,25,0.0611111111111111,0.0005672341527232217,0.0007413872810576395,0.0,100.0,0.07777777777777777,0.0017102410499384403,0.005629578689223593,0.999016450324264,100.0,2.6096999999999997,0.06054387695838788,0.07606753672783932
MSLINK_27,27,0.049999999999999996,0.0006217396851784173,0.002916971305309451,0.9994808237670239,100.0,0.1,0.0008033733331538592,0.003279751597424104,0.9996661691901129,100.0,1.7498,0.04937826031482158,0.09919662666684614
MSLINK_28,28,0.1722222222222222,0.0007057719591290304,0.0008877875255154019,0.9999917517439371,100.0,0.13333333333333333,0.0002750193233797153,0.0008034445701668917,0.9999928275202519,100.0,7.2532000000000005,0.17151645026309317,0.1330583140099536
MSLINK_30,30,0.15,0.00024794763623623583,0.0007796279539928767,0.9999902314683574,100.0,0.23333333333333334,0.0002734809192733186,0.0005825521609441779,0.9999894679200622,100.0,6.6483,0.14975205236376377,0.23305985241406002
MSLINK_31,31,0.03888888888888889,0.0007997458617415675,0.0030136864367365226,0.999445825400334,100.0,0.08888888888888888,0.0003733280105751347,0.0010830506750057055,0.9999908991475158,100.0,2.2580999999999998,0.038089143027147325,0.08851556087831375
MSLINK_32,32,0.5944444444444444,0.003404813996767147,0.011829885177722033,0.9995883935784762,100.0,0.5333333333333333,0.0011739979064358263,0.002138030111238519,0.9999891735382082,100.0,29.010399999999997,0.5910396304476773,0.5321593354268975
MSLINK_33,33,0.11666666666666665,0.0007559241652135495,0.00437297605385876,0.9996926673640918,100.0,0.14444444444444446,0.0006874459296392803,0.002224479094679297,0.9999450188084148,100.0,2.5955999999999997,0.1159107425014531,0.14375699851480517
MSLINK_34,34,0.15555555555555553,0.0006326500906004557,0.0013290140683160213,0.9999936094450074,100.0,0.24444444444444444,0.07374505114531872,0.347718824685658,0.7840921767129011,100.0,2.732499999999999,0.15492290546495507,0.1706993932991257
MSLINK_35,35,0.12222222222222222,0.0036292938782503618,0.022247809614858425,0.9982091717411333,100.0,0.18888888888888886,0.005145971730952453,0.026619036686703047,0.9986256124941482,100.0,16.434099999999994,0.11859292834397185,0.1837429171579364
MSLINK_38,38,0.07222222222222222,0.0007954042463897153,0.002040892907557738,0.9997458495271792,100.0,0.08888888888888889,0.0016576306512369758,0.0023923420994497084,0.9999364077697689,100.0,3.5176999999999996,0.0714268179758325,0.08723125823765192
MSLINK_40,40,0.34444444444444444,0.004992869977269129,0.02267967826316562,0.9987238290130707,100.0,0.5111111111111112,0.006125912392482526,0.022997829307372607,0.9991634268232584,100.0,7.664,0.33945157446717533,0.5049851987186287
MSLINK_41,41,0.3777777777777777,0.005143769866142032,0.021975618194956217,0.9986364391669162,100.0,0.4555555555555556,0.004260954326933598,0.019549623798355533,0.9989250968387765,100.0,8.6235,0.3726340079116357,0.451294601228622
MSLINK_42,42,0.1,0.0007125258628376691,0.002668799975542018,0.9998500527724326,100.0,0.36666666666666664,0.0025492250437948913,0.0044477153481547035,0.9999245595142526,100.0,3.9283999999999994,0.09928747413716234,0.36411744162287174
MSLINK_43,43,0.23333333333333334,0.0019558362851259834,0.004789836548182859,0.9998014588390146,100.0,0.3222222222222222,0.002868268441380545,0.004947630963218392,0.9998748230287876,100.0,4.882000000000001,0.23137749704820734,0.31935395378084164
MSLINK_46,46,0.17777777777777776,0.0006877730225865625,0.0013338012590250758,0.9999827372159706,100.0,0.24444444444444444,0.0012088872447015956,0.0031299313491257768,0.9998911503305529,100.0,6.903200000000001,0.17709000475519118,0.24323555719974285
MSLINK_47,47,0.06111111111111111,0.0003833447259679133,0.0010563090128423405,0.999986196428075,100.0,0.06666666666666667,0.002079270112035446,0.008340073883875698,0.9988821223366133,100.0,2.2139,0.0607277663851432,0.06458739655463122
MSLINK_58,58,0.16666666666666669,5.6032124508800895e-05,0.0004273302488544857,0.9999993036015787,100.0,0.2888888888888889,1.821801075662948e-05,7.783258338136966e-05,0.9999999882497416,100.0,10.079399999999998,0.16661063454215788,0.2888706708781323
MSLINK_64,64,0.39444444444444443,0.001060810092779677,0.0025771479794772767,0.9999913713135513,100.0,0.5222222222222223,0.02252865350180079,0.0974002006585623,0.9912876334903108,100.0,13.035999999999998,0.39338363435166473,0.4996935687204215
